Classificador,Média,Mínimo,Máximo,Mediana,Desvio Padrão,Tempo de Execução (s)
Quadrático,16.848485,6.060606,30.303030,18.181818,5.972144,52.370584
Variante 1,80.121212,69.696970,96.969697,78.787879,6.187902,49.188706
Variante 2,16.363636,6.060606,33.333333,15.151515,7.113280,4.868837
Variante 3,15.818182,3.030303,27.272727,15.151515,5.817319,48.728004
Variante 4,6.060606,0.000000,15.151515,6.060606,3.463203,11.663767
MaxCorr,80.181818,66.666667,93.939394,78.787879,6.159064,0.319639
DMC,78.909091,66.666667,93.939394,78.787879,6.242178,0.209354
1-KK,78.848485,60.606061,96.969697,78.787879,7.485298,1.866968
