Classificador,Média,Mínimo,Máximo,Mediana,Desvio Padrão,Tempo de Execução (s)
Quadrático,16.727273,3.030303,36.363636,15.151515,7.198133,56.854900
Variante 1,80.121212,69.696970,96.969697,78.787879,6.187902,55.924104
Variante 2,44.000000,27.272727,66.666667,42.424242,10.193679,7.605568
Variante 3,36.969697,15.151515,51.515152,36.363636,9.080596,58.246528
Variante 4,15.939394,0.000000,30.303030,15.151515,7.518273,11.797897
MaxCorr,80.363636,66.666667,93.939394,80.303030,6.037060,0.480652
DMC,78.909091,66.666667,93.939394,78.787879,6.242178,0.255632
1-KK,78.848485,60.606061,96.969697,78.787879,7.485298,2.012586
