Classificador,Média,Mínimo,Máximo,Mediana,Desvio Padrão,Tempo de Execução (s)
Quadrático,49.757576,36.363636,72.727273,48.484848,8.418550,0.767840
Variante 1,82.848485,69.696970,96.969697,81.818182,5.697535,0.703186
Variante 2,97.515152,87.878788,100.000000,96.969697,2.916220,0.416311
Variante 3,96.848485,87.878788,100.000000,96.969697,3.350996,0.729556
Variante 4,75.212121,57.575758,93.939394,75.757576,7.975008,0.474342
MaxCorr,94.787879,81.818182,100.000000,96.969697,4.583023,0.262807
DMC,91.515152,78.787879,100.000000,90.909091,5.807969,0.176586
1-KK,84.545455,69.696970,96.969697,84.848485,5.943520,1.364892
